ARCID,ATYP,ADEP,ADES,RM,ARF,ETD,TT,ETA,Flight Time,Adjusted Time,CAT,Seats,Airline
RYR404A,B738,LPPR,LEBL,EIDCJ,380,22:50:00,15,00:05:00,01:15:00,00:45:00,D,184,RYR
AEE713,A20N,LEBL,LGAV,SXNEB,390,00:19:00,9,02:45:00,02:26:00,02:02:00,D,174,AEE
VLG7575,A320,GBYD,LEBL,ECLVV,380,20:25:00,10,00:45:00,04:20:00,03:55:00,D,173,VLG
VLG2479,A321,GCRR,LEBL,ECMQL,360,22:19:00,10,01:00:00,02:41:00,02:16:00,D,207,VLG
RYR56YL,B38M,EIDW,LEBL,EIIHE,370,23:05:00,15,01:05:00,02:00:00,01:30:00,D,170,RYR
ANE3053,CRJX,LEGE,LEBL,ECMLN,180,00:39:00,9,01:10:00,00:31:00,00:07:00,E,100,ANE
VLG7887,A320,GOBD,LEBL,ECMAI,380,20:50:00,10,01:10:00,04:20:00,03:55:00,D,173,VLG
TVP7318,B38M,LKPR,LEBL,OKSWF,370,23:41:00,7,01:40:00,01:59:00,01:37:00,D,170,TVP
IBE2602,A332,SAEZ,LEBL,ECNEN,400,15:00:00,10,02:55:00,11:55:00,11:30:00,B,281,IBE
VLG101P,A20N,LFML,LEBL,ECNDA,290,02:28:00,6,03:00:00,00:32:00,00:11:00,D,174,VLG
TVP7319,B38M,LEBL,EPWA,OKSWF,360,02:57:00,20,05:40:00,02:43:00,02:08:00,D,170,TVP
VLG72JR,A320,LEBL,GMTT,ECMBE,350,03:03:00,8,04:30:00,01:27:00,01:04:00,D,173,VLG
VLG303P,A320,LEBL,LFPO,ECKLT,380,03:07:00,17,04:25:00,01:18:00,00:46:00,D,173,VLG
IBE2606,A332,SCEL,LEBL,ECNNH,400,14:35:00,10,03:25:00,12:50:00,12:25:00,B,281,IBE
VLG2008,A320,LEBL,LICB,ECMBS,390,03:42:00,12,05:15:00,01:33:00,01:06:00,D,173,VLG
VLG6DZ,A320,LGIR,LEBL,ECKHN,360,01:05:00,10,03:45:00,02:40:00,02:15:00,D,173,VLG
VLG9YD,A20N,LEBL,EKCH,ECNCS,390,03:47:00,12,06:25:00,02:38:00,02:11:00,D,174,VLG
VLG7480,A320,LEBL,DAOO,ECODN,310,03:41:00,11,04:50:00,01:09:00,00:43:00,D,173,VLG
RYR26UP,B738,LEBL,EGNX,9HQFK,380,04:05:00,20,05:50:00,01:45:00,01:10:00,D,184,RYR
VLG94PH,A320,LEBL,LIMC,ECOJG,300,04:00:00,8,05:05:00,01:05:00,00:42:00,D,173,VLG
RYR38AV,B738,LEBL,LIPZ,EIDLD,380,04:05:00,20,05:25:00,01:20:00,00:45:00,D,184,RYR
VLG8113,A320,LGAV,LEBL,ECOFX,360,01:41:00,13,04:05:00,02:24:00,01:56:00,D,173,VLG
RYR73JP,B38M,LEBL,LIMF,EIIHE,300,04:08:00,0,05:20:00,01:12:00,00:57:00,D,170,RYR
TAP1041,A321,LEBL,LPPT,CSTJE,330,04:18:00,8,05:45:00,01:27:00,01:04:00,D,207,TAP
RYR4WX,B738,LEBL,LFOB,EIEBF,340,04:26:00,20,05:45:00,01:19:00,00:44:00,D,184,RYR
VLG5VH,A320,LEBL,LMML,ECKRH,370,04:07:00,17,06:05:00,01:58:00,01:26:00,D,173,VLG
AFR32SN,A321,LEBL,LFPG,FGTAZ,340,04:18:00,8,06:05:00,01:47:00,01:24:00,D,207,AFR
RYR9CG,B38M,LEBL,EICK,EIIJM,360,04:26:00,20,06:25:00,01:59:00,01:24:00,D,170,RYR
SIA388,A359,WSSS,LEBL,9VSMK,400,15:45:00,10,04:20:00,12:35:00,12:10:00,B,297,SIA
VLG5BG,A320,LEBL,GCLP,ECLAB,370,04:03:00,8,07:15:00,03:12:00,02:49:00,D,173,VLG
RYR32FE,B738,LEBL,LIME,9HQAL,340,04:20:00,20,05:40:00,01:20:00,00:45:00,D,184,RYR
AAL66,B772,KJFK,LEBL,N795AN,390,21:46:00,36,04:25:00,06:39:00,05:48:00,B,296,AAL
EJU41GZ,A319,LEBL,LSGG,OELVG,320,04:25:00,20,05:35:00,01:10:00,00:35:00,D,144,EJU
ITY075,A320,LEBL,LIRF,EIDTA,340,04:28:00,8,05:40:00,01:12:00,00:49:00,D,173,ITY
RYR2A,B738,LEBL,LEMH,EIDCN,190,04:20:00,20,05:00:00,00:40:00,00:05:00,D,184,RYR
RYR28RR,B738,LEBL,LIRF,9HQEK,340,04:40:00,20,05:50:00,01:10:00,00:35:00,D,184,RYR
RYR56MC,B738,LEBL,EPGD,EIDPI,370,04:28:00,21,07:10:00,02:42:00,02:06:00,D,184,RYR
TVF32ER,A20N,LEBL,LFPO,FHXSG,340,04:30:00,20,05:50:00,01:20:00,00:45:00,D,174,TVF
VLG911N,A320,LEBL,LIPE,ECMER,340,04:35:00,8,05:55:00,01:20:00,00:57:00,D,173,VLG
VLG2GP,A320,LEBL,LEPA,ECMAI,190,04:32:00,8,05:10:00,00:38:00,00:15:00,D,173,VLG
SWR7YT,A321,LEBL,LSZH,HBIOH,320,04:45:00,8,06:05:00,01:20:00,00:57:00,D,207,SWR
VLG4SW,A321,LEBL,LGAV,ECNLV,350,04:47:00,12,07:15:00,02:28:00,02:01:00,D,207,VLG
RYR282G,B738,LEBL,ELLX,9HQEW,340,04:50:00,20,06:20:00,01:30:00,00:55:00,D,184,RYR
RYR82RX,B738,LEBL,GCXO,EIENF,370,04:45:00,20,07:50:00,03:05:00,02:30:00,D,184,RYR
KLM73T,B738,LEBL,EHAM,PHBXL,360,04:54:00,16,06:35:00,01:41:00,01:10:00,D,184,KLM
VLG23TK,A321,LEBL,LEPA,ECMLD,170,04:53:00,11,05:15:00,00:22:00,00:15:00,D,207,VLG
ETD1HA,B78X,OMAA,LEBL,A6BMI,380,22:25:00,10,04:50:00,06:25:00,06:00:00,B,294,ETD
VLG46YB,A321,LEBL,LDDU,ECMQL,340,04:54:00,13,06:40:00,01:46:00,01:18:00,D,207,VLG
VLG3YR,A320,LEBL,LIRF,ECOGE,340,04:45:00,10,06:15:00,01:30:00,01:05:00,D,173,VLG
QTR68R,B789,OTHH,LEBL,A7BHF,380,22:55:00,10,04:55:00,06:00:00,05:35:00,B,284,QTR
VLG68LT,A320,LEBL,LFPG,ECNUP,340,05:00:00,12,06:20:00,01:20:00,00:53:00,D,173,VLG
VLG3LK,A321,LEBL,LEMH,ECMQB,190,04:55:00,10,05:35:00,00:40:00,00:15:00,D,207,VLG
VLG4VF,A321,LEBL,LIPZ,ECMGZ,340,05:00:00,10,06:35:00,01:35:00,01:10:00,D,207,VLG
VLG2QW,A321,LEBL,LEMG,ECNLY,350,04:58:00,10,06:20:00,01:22:00,00:57:00,D,207,VLG
DAL250,A339,KBOS,LEBL,N401DZ,410,22:19:00,19,05:05:00,06:46:00,06:12:00,B,280,DAL
VLG44WK,A321,LEBL,EBBR,ECNLX,360,05:01:00,11,06:45:00,01:44:00,01:18:00,D,207,VLG
VLG6UW,A320,LEBL,LPPR,ECMAH,330,05:06:00,10,06:30:00,01:24:00,00:59:00,D,173,VLG
VLG1YW,A320,LEBL,LSZH,ECLVV,340,05:10:00,10,06:40:00,01:30:00,01:05:00,D,173,VLG
VLG51FM,A320,LEBL,LEXJ,ECMEL,290,05:10:00,12,06:00:00,00:50:00,00:23:00,D,173,VLG
RYR77ZB,B738,LEMG,LEBL,EIEFG,380,03:59:00,12,05:10:00,01:11:00,00:44:00,D,184,RYR
VLG38HJ,A20N,LEBL,LFLL,ECNDA,300,05:09:00,9,06:05:00,00:56:00,00:32:00,D,174,VLG
VLG593U,A21N,LEBL,GCLP,ECNYF,350,04:55:00,10,08:05:00,03:10:00,02:45:00,D,230,VLG
CCA577,A359,ZSPD,LEBL,B1085,390,16:50:00,10,05:10:00,12:20:00,11:55:00,B,297,CCA
VLG73QE,A321,LEBL,LEBB,ECMMU,290,05:11:00,11,06:00:00,00:49:00,00:23:00,D,207,VLG
VLG7830,A320,LEBL,EGKK,ECMES,360,05:13:00,13,06:55:00,01:42:00,01:14:00,D,173,VLG
VLG1MA,A20N,LEBL,LIMJ,ECNCU,300,05:12:00,12,06:25:00,01:13:00,00:46:00,D,174,VLG
DLH03K,A21N,LEBL,EDDF,DAIEQ,340,05:07:00,11,07:10:00,02:03:00,01:37:00,D,230,DLH
EJU85AR,A20N,LIMC,LEBL,OELSF,290,04:06:00,12,05:15:00,01:09:00,00:42:00,D,174,EJU
EJU37TW,A319,LEBL,EGKK,OELQU,380,05:21:00,21,07:10:00,01:49:00,01:13:00,D,144,EJU
IBE04RC,A20N,LEBL,LEMD,ECNAY,290,05:12:00,12,06:05:00,00:53:00,00:26:00,D,174,IBE
EJU14CG,A319,LEBL,LFSB,OELKC,340,05:25:00,0,06:45:00,01:20:00,01:05:00,D,144,EJU
VLG1265,A320,LEBL,ESSA,ECMKN,370,05:17:00,9,08:30:00,03:13:00,02:49:00,D,173,VLG
VLG64ZA,A320,LEPA,LEBL,ECMXP,180,05:02:00,17,05:20:00,00:18:00,00:15:00,D,173,VLG
VLG1PT,A321,LEBL,LEIB,ECMJR,190,05:20:00,10,05:55:00,00:35:00,00:10:00,D,207,VLG
VLG53PC,A320,LEBL,LDSP,ECMFN,380,05:22:00,12,07:00:00,01:38:00,01:11:00,D,173,VLG
VLG8CB,A320,LEBL,LEGR,ECOFU,350,05:20:00,10,06:25:00,01:05:00,00:40:00,D,173,VLG
VLG6LC,A321,LEBL,LSGG,ECMHS,320,05:27:00,11,06:40:00,01:13:00,00:47:00,D,207,VLG
VLG7EY,A321,LEBL,GCXO,ECMOO,350,05:21:00,11,08:25:00,03:04:00,02:38:00,D,207,VLG
VLG8SJ,A320,LEBL,LEAS,ECLOP,330,05:28:00,18,06:30:00,01:02:00,00:29:00,D,173,VLG
RYR14DQ,B38M,LMML,LEBL,EIIJL,360,04:05:00,15,05:30:00,01:25:00,00:55:00,D,170,RYR
VLG76GZ,A321,LEBL,EIDW,ECMGY,340,05:20:00,10,07:45:00,02:25:00,02:00:00,D,207,VLG
VLG11TT,A320,LEBL,EHAM,ECKDX,360,05:30:00,10,07:20:00,01:50:00,01:25:00,D,173,VLG
VLG4PL,A320,LEBL,EDDS,ECKHN,340,05:29:00,9,07:10:00,01:41:00,01:17:00,D,173,VLG
VLG2472,A321,LEBL,GCRR,ECMMH,350,05:40:00,10,08:15:00,02:35:00,02:10:00,D,207,VLG
VLG8VX,A321,LEBL,LIRN,ECMPV,340,05:30:00,10,07:10:00,01:40:00,01:15:00,D,207,VLG
VLG84ZE,A320,LEBL,EGLL,ECODM,380,05:42:00,12,07:25:00,01:43:00,01:16:00,D,173,VLG
VLG1XG,A320,LEIB,LEBL,ECLUN,180,05:11:00,7,05:40:00,00:29:00,00:07:00,D,173,VLG
VLG2974,A321,LEBL,LFRS,ECMHB,320,05:30:00,10,06:45:00,01:15:00,00:50:00,D,207,VLG
VLG4CG,A320,LEAL,LEBL,ECMVD,260,04:54:00,9,05:40:00,00:46:00,00:22:00,D,173,VLG
VLG6ZP,A320,LEBL,LFPO,ECMCU,340,05:38:00,8,07:00:00,01:22:00,00:59:00,D,173,VLG
VLG9VG,A21N,LEBL,EDDM,ECNYE,340,05:41:00,11,07:30:00,01:49:00,01:23:00,D,230,VLG
WMT262,A21N,LROP,LEBL,9HWAY,350,03:10:00,10,05:45:00,02:35:00,02:10:00,D,230,WMT
RYR2SY,B738,LEBL,EBBR,EIDCJ,340,05:50:00,20,07:25:00,01:35:00,01:00:00,D,184,RYR
ACA822,B77W,CYUL,LEBL,CFIUL,370,22:40:00,10,05:45:00,07:05:00,06:40:00,B,331,ACA
VLG65MT,A321,LEBL,LECO,ECMHA,330,05:44:00,9,07:00:00,01:16:00,00:52:00,D,207,VLG
VLG5YL,A320,LEBL,GCFV,ECKDH,370,05:49:00,9,08:30:00,02:41:00,02:17:00,D,173,VLG
VLG91MM,A321,LEBL,EDDH,ECMLM,340,05:58:00,8,08:00:00,02:02:00,01:39:00,D,207,VLG
CCA845,A359,ZBAA,LEBL,B307C,390,19:00:00,10,05:55:00,10:55:00,10:30:00,B,297,CCA
VLG56ND,A319,LEBL,LESO,ECMIQ,290,05:55:00,10,06:40:00,00:45:00,00:20:00,D,144,VLG
AEA14ZJ,B738,LEPA,LEBL,ECLQX,180,05:22:00,17,05:55:00,00:33:00,00:01:00,D,184,AEA
VLG47KA,A320,LFPO,LEBL,ECMFK,370,04:51:00,16,05:55:00,01:04:00,00:33:00,D,173,VLG
VLG3722,A320,LEBL,LEMH,ECOFX,190,05:59:00,9,06:30:00,00:31:00,00:07:00,D,173,VLG
VLG45PN,A320,LEBL,LKPR,ECLVO,380,05:56:00,10,08:05:00,02:09:00,01:44:00,D,173,VLG
VLG26NX,A320,LEMG,LEBL,ECMEA,360,04:45:00,15,06:00:00,01:15:00,00:45:00,D,173,VLG
VLG6HA,A320,LEZL,LEBL,ECOKH,340,04:49:00,10,06:00:00,01:11:00,00:46:00,D,173,VLG
BAW47C,A320,LEBL,EGLL,GEUUO,360,06:03:00,13,07:55:00,01:52:00,01:24:00,D,173,BAW
VLG6XL,A320,LEPA,LEBL,ECOGC,180,05:42:00,17,06:00:00,00:18:00,00:15:00,D,173,VLG
VLG3BV,A320,LEBL,LEST,ECMAN,330,05:41:00,16,07:15:00,01:34:00,01:03:00,D,173,VLG
FIA511,A320,LUKK,LEBL,ER00008,360,02:45:00,15,06:00:00,03:15:00,02:45:00,D,173,FIA
EJU73YK,A319,LEBL,EGGD,OELQQ,360,06:06:00,21,07:50:00,01:44:00,01:08:00,D,144,EJU
RYR47WZ,B38M,EYVI,LEBL,SPRZK,380,02:55:00,10,06:05:00,03:10:00,02:45:00,D,170,RYR
LHX93U,A20N,EDDM,LEBL,DAIJN,370,04:34:00,12,06:05:00,01:31:00,01:04:00,D,174,LHX
THY1852,B738,LEBL,LTFM,TCJVJ,390,05:56:00,10,08:55:00,02:59:00,02:34:00,D,184,THY
RYR4VD,B738,LEZL,LEBL,9HQEU,380,04:37:00,10,06:05:00,01:28:00,01:03:00,D,184,RYR
DLH98Y,A321,LEBL,EDDM,DAISP,360,06:00:00,10,07:50:00,01:50:00,01:25:00,D,207,DLH
TRA5B,B738,EHAM,LEBL,PHHSI,390,04:12:00,15,06:05:00,01:53:00,01:23:00,D,184,TRA
CPA321,A359,VHHH,LEBL,BLRC,400,16:35:00,10,06:05:00,13:30:00,13:05:00,B,297,CPA
VLG7QA,A320,LEBL,GMMI,ECKDG,390,06:09:00,9,08:05:00,01:56:00,01:32:00,D,173,VLG
RYR1VJ,B738,LEPA,LEBL,9HQAD,180,05:46:00,16,06:10:00,00:24:00,00:15:00,D,184,RYR
RYR130V,B738,LEBL,LPPR,9HQEH,330,06:08:00,0,07:35:00,01:27:00,01:12:00,D,184,RYR
VLG73LA,A20N,LEBL,LEIB,ECNFK,190,06:05:00,9,06:50:00,00:45:00,00:21:00,D,174,VLG
EWG4214,A320,LKPR,LEBL,9HEUN,370,04:24:00,16,06:10:00,01:46:00,01:15:00,D,173,EWG
DAL128,B764,KJFK,LEBL,N841MH,370,22:00:00,30,06:10:00,08:10:00,07:25:00,C,245,DAL
VLG6001,A319,LEBL,LIRQ,ECMKV,340,06:16:00,16,07:25:00,01:09:00,00:38:00,D,144,VLG
NSZ3DA,B738,LEBL,ESSA,SERRF,380,06:21:00,20,09:20:00,02:59:00,02:24:00,D,184,NSZ
RYR17MW,B738,LHBP,LEBL,SPRSI,370,04:10:00,10,06:15:00,02:05:00,01:40:00,D,184,RYR
WMT2NV,A21N,LOWW,LEBL,9HWAO,350,04:29:00,15,06:15:00,01:46:00,01:16:00,D,230,WMT
NSZ5526,B738,LEBL,ENBR,SERPE,390,06:23:00,20,09:15:00,02:52:00,02:17:00,D,184,NSZ
RYR6882,B738,LEMH,LEBL,EIDCN,180,05:55:00,10,06:20:00,00:25:00,00:00:00,D,184,RYR
UAL992,B789,KIAD,LEBL,N24974,400,22:50:00,20,06:25:00,07:35:00,07:00:00,B,284,UAL
RYR53EB,B738,LEBL,LEMG,EIEFG,370,06:30:00,20,07:30:00,01:00:00,00:25:00,D,184,RYR
IBE04TP,A321,LEMD,LEBL,ECJZM,260,05:26:00,16,06:25:00,00:59:00,00:28:00,D,207,IBE
RYR519Z,B738,EVRA,LEBL,SPRKS,370,03:11:00,9,06:25:00,03:14:00,02:50:00,D,184,RYR
VLG1423,A320,LEBB,LEBL,ECJYX,300,05:32:00,7,06:25:00,00:53:00,00:31:00,D,173,VLG
WZZ9AR,A21N,EPWA,LEBL,9HWDT,370,04:01:00,16,06:30:00,02:29:00,01:58:00,D,230,WZZ
RYR11SX,B38M,EPKK,LEBL,SPRZI,350,04:23:00,15,06:30:00,02:07:00,01:37:00,D,170,RYR
KLM1497,E190,EHAM,LEBL,DACJJ,390,04:50:00,18,06:30:00,01:40:00,01:07:00,E,104,KLM
EJU98TL,A20N,LEBL,LIMC,OELSF,300,06:39:00,0,07:55:00,01:16:00,01:01:00,D,174,EJU
VLG15SY,A320,LEBL,LPPT,ECOJH,330,06:35:00,11,08:00:00,01:25:00,00:59:00,D,173,VLG
UAL120,B772,KEWR,LEBL,N795UA,390,23:25:00,10,06:35:00,07:10:00,06:45:00,B,296,UAL
VLG21PG,A320,LEBL,LEAL,ECMVD,270,06:36:00,11,07:20:00,00:44:00,00:18:00,D,173,VLG
UAE81W,B77L,OMDB,LEBL,A6EWJ,380,23:35:00,10,06:35:00,07:00:00,06:35:00,B,240,UAE
AAL742,B789,KPHL,LEBL,N820AL,410,23:55:00,40,06:35:00,06:40:00,05:45:00,B,284,AAL
VLG93DX,A320,LEBL,LEPA,ECLVP,170,06:35:00,10,07:05:00,00:30:00,00:05:00,D,173,VLG
AEA58PB,B789,LEMD,LEBL,ECOFP,300,05:49:00,19,06:40:00,00:51:00,00:17:00,B,284,AEA
RYR38BG,B738,LEBL,LIPE,EIENP,340,06:45:00,20,08:00:00,01:15:00,00:40:00,D,184,RYR
NSZ56V,B38M,EKCH,LEBL,SENAA,410,04:23:00,10,06:40:00,02:17:00,01:52:00,D,170,NSZ
VLG684H,A320,LEPA,LEBL,ECMAI,180,06:17:00,17,06:40:00,00:23:00,00:15:00,D,173,VLG
SWR4XH,A321,LSZH,LEBL,HBIOM,350,05:23:00,13,06:45:00,01:22:00,00:54:00,D,207,SWR
SEU403,A21N,LUKK,LEBL,9HPEC,370,03:55:00,15,06:45:00,02:50:00,02:20:00,D,230,SEU
AUA391A,A320,LOWW,LEBL,OELBS,370,05:07:00,10,06:45:00,01:38:00,01:13:00,D,173,AUA
WMT6025,A21N,LIRF,LEBL,9HWNQ,340,05:40:00,15,06:50:00,01:10:00,00:40:00,D,230,WMT
VLG200Z,A320,LEBL,LEIB,ECLUN,190,06:56:00,11,07:30:00,00:34:00,00:08:00,D,173,VLG
WZZ2407,A21N,EPWR,LEBL,9HWMG,370,04:44:00,9,06:55:00,02:11:00,01:47:00,D,230,WZZ
AFR17ZG,A321,LFPG,LEBL,FGTAP,330,05:30:00,13,06:55:00,01:25:00,00:57:00,D,207,AFR
VLG36GQ,A320,EHAM,LEBL,ECMVE,390,05:09:00,10,06:55:00,01:46:00,01:21:00,D,173,VLG
RYR18QV,B38M,LEBL,LMML,EIIJL,390,06:59:00,20,08:45:00,01:46:00,01:11:00,D,170,RYR
ELY393,B739,LLBG,LEBL,4XEHB,360,03:19:00,15,07:00:00,03:41:00,03:11:00,D,183,ELY
VLG7CV,A320,LEBL,LEMG,ECMEA,370,07:00:00,10,08:10:00,01:10:00,00:45:00,D,173,VLG
RYR95TH,B738,EGSS,LEBL,EIDWM,350,05:14:00,14,07:00:00,01:46:00,01:17:00,D,184,RYR
AEA38LZ,B738,LEBL,LEPA,ECLQX,170,07:01:00,11,07:25:00,00:24:00,00:15:00,D,184,AEA
WMT641,A321,LATI,LEBL,HALTC,370,04:49:00,5,07:00:00,02:11:00,01:51:00,D,207,WMT
VLG4TJ,A321,LEPA,LEBL,ECMLD,180,06:42:00,17,07:05:00,00:23:00,00:15:00,D,207,VLG
VLG9DP,A320,LEBL,LFPO,ECMFK,340,07:06:00,11,08:20:00,01:14:00,00:48:00,D,173,VLG
WZZ636,A21N,LHBP,LEBL,9HWDJ,350,05:10:00,10,07:05:00,01:55:00,01:30:00,D,230,WZZ
MAC377C,A320,GMTT,LEBL,CNNML,380,05:45:00,15,07:05:00,01:20:00,00:50:00,D,173,MAC
VLG7481,A320,DAOO,LEBL,ECODN,300,06:13:00,8,07:05:00,00:52:00,00:29:00,D,173,VLG
VLG6VG,A320,LEBL,LEMH,ECOKH,190,07:11:00,11,07:40:00,00:29:00,00:03:00,D,173,VLG
SAS65D,A20N,EKCH,LEBL,SEROE,390,04:41:00,9,07:10:00,02:29:00,02:05:00,D,174,SAS
DLH55K,A21N,EDDF,LEBL,DAIEN,370,05:39:00,9,07:10:00,01:31:00,01:07:00,D,230,DLH
VLG67PA,A321,LEMH,LEBL,ECMQB,180,06:34:00,11,07:15:00,00:41:00,00:15:00,D,207,VLG
FIA512,A320,LEBL,LUKK,ER00008,370,07:20:00,20,10:00:00,02:40:00,02:05:00,D,173,FIA
ACA820,B77W,CYYZ,LEBL,CFIVM,360,23:30:00,0,07:15:00,07:45:00,07:30:00,B,331,ACA
RYR23VU,B738,LEBL,LEZL,9HQEU,350,07:10:00,20,08:25:00,01:15:00,00:40:00,D,184,RYR
LHX06E,A20N,LEBL,EDDM,DAIJN,380,07:15:00,10,09:05:00,01:50:00,01:25:00,D,174,LHX
RYR70YX,B38M,LIMF,LEBL,EIIHE,290,06:15:00,15,07:15:00,01:00:00,00:30:00,D,170,RYR
VLG70WL,A320,LEBL,GCLP,ECODL,370,07:13:00,11,10:10:00,02:57:00,02:31:00,D,173,VLG
AVA018,B788,SKBO,LEBL,N780AV,410,21:10:00,10,07:20:00,10:10:00,09:45:00,B,266,AVA
TRA3T,B738,LEBL,EHAM,PHHSI,360,07:23:00,20,09:05:00,01:42:00,01:07:00,D,184,TRA
RYR97BB,B738,LEBL,LHBP,SPRSI,380,07:25:00,20,09:30:00,02:05:00,01:30:00,D,184,RYR
VLG5FN,A320,LEBL,EGKK,ECMXP,360,07:12:00,12,09:15:00,02:03:00,01:36:00,D,173,VLG
VLG9FC,A320,LEBL,LEBB,ECJYX,290,07:19:00,11,08:15:00,00:56:00,00:30:00,D,173,VLG
EWG64N,A20N,EDDK,LEBL,DAENF,390,05:43:00,10,07:20:00,01:37:00,01:12:00,D,174,EWG
VLG7369,A320,GMTT,LEBL,ECMBE,380,05:45:00,10,07:25:00,01:40:00,01:15:00,D,173,VLG
EZY48HQ,A20N,EGAA,LEBL,GUZLF,390,05:20:00,10,07:25:00,02:05:00,01:40:00,D,174,EZY
VLG50RV,A320,LEBL,LEPA,ECOGC,170,07:26:00,11,07:55:00,00:29:00,00:03:00,D,173,VLG
RYR65HW,B738,LIPZ,LEBL,EIDLD,350,06:16:00,11,07:25:00,01:09:00,00:43:00,D,184,RYR
QTR138,B789,LEBL,OTHH,A7BHF,390,07:30:00,15,13:05:00,05:35:00,05:05:00,B,284,QTR
IBE04LK,A321,LEBL,LEMD,ECJZM,290,07:27:00,12,08:15:00,00:48:00,00:21:00,D,207,IBE
N818CA,GA5C,LEMD,LEBL,N818CA,280,06:31:00,21,07:30:00,00:59:00,00:23:00,E,14,N81
TAM8114,B789,SBGR,LEBL,CCBGM,400,21:10:00,10,07:30:00,10:20:00,09:55:00,B,284,TAM
RYR33ML,B738,LEBL,GMMX,EIDCN,370,07:35:00,20,09:25:00,01:50:00,01:15:00,D,184,RYR
VLG94MT,A320,LIMC,LEBL,ECOJG,310,06:28:00,17,07:35:00,01:07:00,00:35:00,D,173,VLG
NSZ2900,B38M,EFHK,LEBL,SERTA,400,04:06:00,6,07:35:00,03:29:00,03:08:00,D,170,NSZ
RYR83YF,B38M,LEBL,EYVI,SPRZK,370,07:41:00,20,10:45:00,03:04:00,02:29:00,D,170,RYR
WMT182,A21N,LEBL,LROP,9HWAY,370,07:42:00,20,10:15:00,02:33:00,01:58:00,D,230,WMT
EWG71W,A320,EDDL,LEBL,DABZN,390,05:46:00,11,07:35:00,01:49:00,01:23:00,D,173,EWG
RYR2VW,B738,LEBL,EVRA,SPRKS,370,07:40:00,20,11:00:00,03:20:00,02:45:00,D,184,RYR
DAL194,A359,KATL,LEBL,N572DZ,410,23:00:00,10,07:40:00,08:40:00,08:15:00,B,297,DAL
KLM1498,E190,LEBL,EHAM,DACJJ,380,07:46:00,10,09:30:00,01:44:00,01:19:00,E,104,KLM
RYR39XE,B738,EIDW,LEBL,EIEMK,370,05:52:00,22,07:40:00,01:48:00,01:11:00,D,184,RYR
EJU7106,A319,LSGG,LEBL,OELVG,290,06:45:00,10,07:40:00,00:55:00,00:30:00,D,144,EJU
IBE04AM,A321,LEMD,LEBL,ECJDR,300,06:46:00,16,07:45:00,00:59:00,00:28:00,D,207,IBE
VLG13JE,A321,LEBB,LEBL,ECMMU,280,07:02:00,10,07:45:00,00:43:00,00:18:00,D,207,VLG
RYR38YM,B738,LIME,LEBL,9HQAL,350,06:33:00,10,07:45:00,01:12:00,00:47:00,D,184,RYR
RYR39UM,B38M,EGPH,LEBL,9HVVI,370,05:32:00,12,07:50:00,02:18:00,01:51:00,D,170,RYR
VLG745N,A320,LEBL,EGBB,ECMAI,380,07:50:00,12,09:40:00,01:50:00,01:23:00,D,173,VLG
VLG6MB,A321,LEIB,LEBL,ECMJR,180,07:06:00,10,07:50:00,00:44:00,00:19:00,D,207,VLG
AAL112,B788,KMIA,LEBL,N803AL,410,00:09:00,25,07:50:00,07:41:00,07:01:00,B,266,AAL
WZZ17JZ,A21N,LEBL,EPWA,9HWDT,370,07:58:00,20,10:30:00,02:32:00,01:57:00,D,230,WZZ
DAL251,A339,LEBL,KBOS,N401DZ,380,07:53:00,23,15:05:00,07:12:00,06:34:00,B,280,DAL
VLG5RJ,A320,LEXJ,LEBL,ECMEL,300,07:05:00,5,07:55:00,00:50:00,00:30:00,D,173,VLG
RYR8285,B38M,LEBL,EPKK,SPRZI,390,08:00:00,20,10:30:00,02:30:00,01:55:00,D,170,RYR
VLG404P,A320,LFPO,LEBL,ECLVU,390,06:32:00,12,07:55:00,01:23:00,00:56:00,D,173,VLG
WZZ3081,A21N,EPKK,LEBL,9HWAF,370,05:36:00,17,07:55:00,02:19:00,01:47:00,D,230,WZZ
EZY53KT,A319,EGGW,LEBL,GEZAN,330,06:20:00,14,08:00:00,01:40:00,01:11:00,D,144,EZY
CYP322,BCS3,LCLK,LEBL,5BDEF,380,04:10:00,10,08:00:00,03:50:00,03:25:00,D,150,CYP
VLG2009,A320,LICB,LEBL,ECMBS,360,06:17:00,7,08:00:00,01:43:00,01:21:00,D,173,VLG
RYR66GR,B738,LEBL,EGSS,EIDWM,380,08:05:00,20,09:55:00,01:50:00,01:15:00,D,184,RYR
EIN5HJ,A20N,EIDW,LEBL,EINSA,370,06:02:00,22,08:05:00,02:03:00,01:26:00,D,174,EIN
VLG77TL,A20N,LFLL,LEBL,ECNDA,290,07:12:00,9,08:05:00,00:53:00,00:29:00,D,174,VLG
RYR64ZN,B738,LFOB,LEBL,EIEBF,370,06:55:00,15,08:05:00,01:10:00,00:40:00,D,184,RYR
SWR96M,A321,LEBL,LSZH,HBIOM,320,08:09:00,10,09:35:00,01:26:00,01:01:00,D,207,SWR
EWG4215,A320,LEBL,LKPR,9HEUN,380,08:07:00,20,10:10:00,02:03:00,01:28:00,D,173,EWG
EXS73PU,B738,EGBB,LEBL,OMLEX,350,06:15:00,15,08:05:00,01:50:00,01:20:00,D,184,EXS
